cleaning,cleaned_x,predicted_sentiment
queen bee syndrome iriana sebab runtuh raja joko widodo calon gibran rakabuming raka wakil presiden indonesia jaya jokowi raja jawa tahan mahkota jabat,queen bee syndrome iriana sebab runtuh raja joko widodo calon gibran rakabuming raka wakil presiden indonesia jaya jokowi raja jawa tahan mahkota jabat,negative
gibran pulang solo jumat siang jokowi malam minggu siang gibran jemput ps bandara dua rumah jokowi temu tutup rumah pribadi jokowi ps amp gibran info dpc dpd gerindra larang krn ps panggil menhan,gibran pulang solo jumat siang jokowi malam minggu siang gibran jemput bandara dua rumah jokowi temu tutup rumah pribadi jokowi amp gibran info dpc dpd gerindra larang krn panggil menhan,neutral
lengser jokowi resmi istana ikn gibran  tempat jaga waris bapak bener rocky gerung jokowi ga tobat klo fufufafa kantor ikn beneran ikn jin buang anak spt  jokowi bilang jokowi layak penjara,lengser jokowi resmi istana ikn gibran tempat jaga waris bapak bener rocky gerung jokowi tobat klo fufufafa kantor ikn beneran ikn jin buang anak spt jokowi bilang jokowi layak penjara,negative
momen debar jelang pensiun jokowi acara usaha hapus bukti gibran libat jejak fufufafa strategi hilang jejak tren istana a thread,momen debar jelang pensiun jokowi acara usaha hapus bukti gibran libat jejak fufufafa strategi hilang jejak tren istana thread,neutral
mahasiswa jaket kuning kepung dpr tolak gibran adil jokowi,mahasiswa jaket kuning kepung dpr tolak gibran adil jokowi,negative
jokowi mundur gibran wajib mundur gibran wapres ilegal,jokowi mundur gibran wajib mundur gibran wapres ilegal,negative
periode jokowi periode prabowo periode gibran oke gas oke gas,periode jokowi periode prabowo periode gibran oke gas oke gas,neutral
keluarga jokowi gibran mundur gak salah nih,keluarga jokowi gibran mundur gak salah nih,negative
prabowo undang menhan presiden pilih gibran rakyat wapres pilih jokowi patah bohong jilat jilat ga kompak sih,prabowo undang menhan presiden pilih gibran rakyat wapres pilih jokowi patah bohong jilat jilat kompak sih,negative
mahasiswa tanggal oktober turun tuntut adil jokowi gtgt jokowi hitung gibran ujung tanduk demo pekan lengkap tonton youtube ilc,mahasiswa tanggal oktober turun tuntut adil jokowi gtgt jokowi hitung gibran ujung tanduk demo pekan lengkap tonton youtube ilc,neutral
data lapor aja cek kpk valid gak gibran kaesang cuci uang jokowi mania udah maen lapor nyimpulin udah lapor bohong mending tunggu hasil kece kpk emang bohong gas lapor,data lapor aja cek kpk valid gak gibran kaesang cuci uang jokowi mania udah maen lapor nyimpulin udah lapor bohong mending tunggu hasil kece kpk emang bohong gas lapor,negative
menang formal prabowogibran menang simbolik joko widodo jokowi is indeed the real king hes the most powerful man in the country,menang formal prabowogibran menang simbolik joko widodo jokowi indeed the real king hes the most powerful man the country,positive
presiden pilih prabowo subianto bocor susun kabinet isi menteri era presiden joko widodo jokowi sampai acara bni investor daily summit,presiden pilih prabowo subianto bocor susun kabinet isi menteri era presiden joko widodo jokowi sampai acara bni investor daily summit,neutral
fix akun kaskus fufufafa resmi milik gibran rakabuming raka anak jokowi prabowo tahantahan ya oktober bulan,fix akun kaskus fufufafa resmi milik gibran rakabuming raka anak jokowi prabowo tahantahan oktober bulan,neutral
gempar jokowi gibran batal lantik pilih tidur solo hadir lantik prabowo,gempar jokowi gibran batal lantik pilih tidur solo hadir lantik prabowo,negative
emang ga cape nyerang bukti periode laku yamg hasil lengserin makziulkan seret jokowi purna tugas ganti prabowo gibran dah ah lihat raut bahagia aja,emang cape nyerang bukti periode laku yamg hasil lengserin makziulkan seret jokowi purna tugas ganti prabowo gibran dah lihat raut bahagia aja,negative
pro kontra siswi smp kritik jokowi amp gibran ujung lapor serang netizen,pro kontra siswi smp kritik jokowi amp gibran ujung lapor serang netizen,negative
gtgt jokowi hitung gibran ujung tanduk demo pekan lengkap tonton youtube ilc,gtgt jokowi hitung gibran ujung tanduk demo pekan lengkap tonton youtube ilc,neutral
langgar konstitusi langgar atur debat langgar netralitas aparat langgar integritas jabat pakai beras bulog kampanye ya kabinet jokowi abdi utk prabobrogibran labrak terusselagi kuasa,langgar konstitusi langgar atur debat langgar netralitas aparat langgar integritas jabat pakai beras bulog kampanye kabinet jokowi abdi utk prabobrogibran labrak terusselagi kuasa,negative
ikn ikat keluarga nebeng akan kaesang rasa mewah nebeng jet pribadi ikut jejak jokowi nebeng pdip gibran nebeng mk sukses lepas nebeng a thread,ikn ikat keluarga nebeng akan kaesang rasa mewah nebeng jet pribadi ikut jejak jokowi nebeng pdip gibran nebeng sukses lepas nebeng thread,neutral
amien rais mulyonojokowi presiden buruk milik bangsa indonesia oktober prabowo gibran apaapa lantik oktober gera rakyat jebol gibran si tolol si fufufafa penting seret mulyono,amien rais mulyonojokowi presiden buruk milik bangsa indonesia oktober prabowo gibran apaapa lantik oktober gera rakyat jebol gibran tolol fufufafa penting seret mulyono,positive
majelis hakim mahkamah konstitusi libat presiden jokowi putus mk nomor lolos gibran rakabuming raka bukti papar hakim mk arief hidayat putus mkmk nomor,majelis hakim mahkamah konstitusi libat presiden jokowi putus nomor lolos gibran rakabuming raka bukti papar hakim arief hidayat putus mkmk nomor,negative
mulyono keluarga tweet kulit koran hong kong south china morning post politik dinasti nepotisme tabrak konstitusi laku ipar mk gratifikasi nikmat keluarga,mulyono keluarga tweet kulit koran hong kong south china morning post politik dinasti nepotisme tabrak konstitusi laku ipar gratifikasi nikmat keluarga,positive
 hina anak cucu suharto bukti fufufafa gibran ga gibran rakabuming neraka jokowi keluarga jilat lu ded karma hukum orang  bejad moral,hina anak cucu suharto bukti fufufafa gibran gibran rakabuming neraka jokowi keluarga jilat ded karma hukum orang bejad moral,positive
nggak bayang gimana caleg gerindra contoh ahmad dhani konstituen antijokowi suara lanjut bangun jokowi dukung gibran,nggak bayang gimana caleg gerindra contoh ahmad dhani konstituen antijokowi suara lanjut bangun jokowi dukung gibran,positive
gak alas elak udah teralalu terang bukti fufufafa gibran anak jokowi saran kalo ketemu prabowo pake helm full face aja mas ye,gak alas elak udah teralalu terang bukti fufufafa gibran anak jokowi saran kalo ketemu prabowo pake helm full face aja mas,neutral
prabowo jemput wakil presiden pilih gibran rakabuming raka bandara adi soemarmo rumah presiden jokowi mobil alphard putih,prabowo jemput wakil presiden pilih gibran rakabuming raka bandara adi soemarmo rumah presiden jokowi mobil alphard putih,neutral
tweet sambut datang presiden pilih prabowo subianto bandara berangkat mobil diam presiden isu renggang isu receh  gulir orang  gak suka rukun,tweet sambut datang presiden pilih prabowo subianto bandara berangkat mobil diam presiden isu renggang isu receh gulir orang gak suka rukun,negative
kuak aktivitas akun fufufafa kaskus presiden jokowi kabar laba lengser orangorang percaya jokowi coba manuver aman gibran rakabuming raka wakil presiden pilih,kuak aktivitas akun fufufafa kaskus presiden jokowi kabar laba lengser orangorang percaya jokowi coba manuver aman gibran rakabuming raka wakil presiden pilih,negative
juta data npwp diperjualbelikan harga juta rupiah data  bocor nik npwp alamat no hp email dll npwp milik jokowi gibran kaesang menkominfo sri mulyani amp menteri bocor sampel  laku,juta data npwp diperjualbelikan harga juta rupiah data bocor nik npwp alamat email dll npwp milik jokowi gibran kaesang menkominfo sri mulyani amp menteri bocor sampel laku,neutral
manuver jokowi aman gibran jelang lengser kursi presiden jokowi tengara aman posisi gibran rakabuming raka wakil presiden pilih tolak lantik mekanisme tetap mpr simak lengkap program bocor alus politik channel,manuver jokowi aman gibran jelang lengser kursi presiden jokowi tengara aman posisi gibran rakabuming raka wakil presiden pilih tolak lantik mekanisme tetap mpr simak lengkap program bocor alus politik channel,positive
gibran layak lantik oktober satria naufal koordinator pusat bem indonesia gtgt jokowi hitung gibran ujung tanduk demo pekan tonton youtube ilc,gibran layak lantik oktober satria naufal koordinator pusat bem indonesia gtgt jokowi hitung gibran ujung tanduk demo pekan tonton youtube ilc,neutral
ngomongin politik dinasti lemah gibran jokowi mesti coba maen yogya udah ajar nrimo politik dinasti orok,ngomongin politik dinasti lemah gibran jokowi mesti coba maen yogya udah ajar nrimo politik dinasti orok,negative
prabowo gibran temu presiden jokowi solo bahas bahas urus negara pasti jakarta duga bahas fufufafa titip menteri,prabowo gibran temu presiden jokowi solo bahas bahas urus negara pasti jakarta duga bahas fufufafa titip menteri,negative
balik klaim aku publik presiden jokowi aktif bangun strategi skenario duet prabowo subianto anak gibran rakabuming raka,balik klaim aku publik presiden jokowi aktif bangun strategi skenario duet prabowo subianto anak gibran rakabuming raka,negative
barkaca presidenpresiden nggak masuk adil amp penjara gtgt gtgt jokowi hitung gibran ujung tanduk demo pekan lengkap tonton youtube ilc,barkaca presidenpresiden nggak masuk adil amp penjara gtgt gtgt jokowi hitung gibran ujung tanduk demo pekan lengkap tonton youtube ilc,neutral
lantik presiden wapres tweet kaum iq amp mules diare,lantik presiden wapres tweet kaum amp mules diare,neutral
breaking news final resmi akun fufufafa gibran rakabuming alias tweet gak pake anak mulyono aman delik tangkap telak jejak digital akun fufufafa aku anak jokowi terimakasih andi arief,breaking news final resmi akun fufufafa gibran rakabuming alias tweet gak pake anak mulyono aman delik tangkap telak jejak digital akun fufufafa aku anak jokowi terimakasih andi arief,neutral
sungguh tarik anak mantu presiden jokowi jabat bikin bangga rakyat indonesia gibran wapres kaesang gubernur dki bobby gubernur sumut erina bupati sleman kahiyang walikota medan selvi walikota solo keren,sungguh tarik anak mantu presiden jokowi jabat bikin bangga rakyat indonesia gibran wapres kaesang gubernur dki bobby gubernur sumut erina bupati sleman kahiyang walikota medan selvi walikota solo keren,positive
jokowi maling apbn t gibran kaesang lapor duga kkn tppu bobby maling ekspor nikel ilegal juta ton kahiyang libat korupsi urus iup halmahera touchable lengser jokowi cepat,jokowi maling apbn gibran kaesang lapor duga kkn tppu bobby maling ekspor nikel ilegal juta ton kahiyang libat korupsi urus iup halmahera touchable lengser jokowi cepat,negative
keluarga jokowi gibran mundur gak salah dengar niih,keluarga jokowi gibran mundur gak salah dengar niih,negative
pas duet prabowo ganjar gagal krn ga ad  ngalah jd cawapres jokowi dukung ganjar hati pdip bener pisah pas ganjar nolak pildun u kmrn asli jauh jokowi krn marah pildun u gagal gitu jg gibran,pas duet prabowo ganjar gagal krn ngalah cawapres jokowi dukung ganjar hati pdip bener pisah pas ganjar nolak pildun kmrn asli jauh jokowi krn marah pildun gagal gitu gibran,negative
jokowi hadir lantik prabowo senayan malu fufufafa wapresnya gibran,jokowi hadir lantik prabowo senayan malu fufufafa wapresnya gibran,negative
gibran anak presiden prabowo manja prabowo nama jokowi dulang suara jokowi lengser gibran sosok identik jokowi  lempar asbak teman opini jokowi komitmen,gibran anak presiden prabowo manja prabowo nama jokowi dulang suara jokowi lengser gibran sosok identik jokowi lempar asbak teman opini jokowi komitmen,negative
jelang senjakala kuasa sukses cawe pilpres menang gibran anak jokowi cawe pilkada pilkada maju september kuasa,jelang senjakala kuasa sukses cawe pilpres menang gibran anak jokowi cawe pilkada pilkada maju september kuasa,positive
prabowo sempat temu jokowi jam tani wapres pilih gibran kirakira diskusi ya lintas pikir jokowi pamit hadir lantik mega tenang hadir lantik hehehe,prabowo sempat temu jokowi jam tani wapres pilih gibran kirakira diskusi lintas pikir jokowi pamit hadir lantik mega tenang hadir lantik hehehe,negative
presiden jokowi widodo menhan prabowo subianto indonesia nampak garang mata dunia moga prabowogibran indonesia jd negara adidaya  mbantah,presiden jokowi widodo menhan prabowo subianto indonesia nampak garang mata dunia moga prabowogibran indonesia negara adidaya mbantah,negative
ya  pilih gibran mah kayak berani ato serakah hahahahha lindung penting lha gibran ngelola usaha rugi bisnis gibran gulung tikar daftar,pilih gibran mah kayak berani ato serakah hahahahha lindung penting lha gibran ngelola usaha rugi bisnis gibran gulung tikar daftar,positive
wapres pilih gibran rakabuming aku peran presiden jokowi susun kabinet prabowo muka minimal cuci muka ketemu wartawan,wapres pilih gibran rakabuming aku peran presiden jokowi susun kabinet prabowo muka minimal cuci muka ketemu wartawan,negative
undang buka oktober kumpul balai sudirman amp dpr adil jokowi amp lantik gibran,undang buka oktober kumpul balai sudirman amp dpr adil jokowi amp lantik gibran,neutral
tanda kereta prabowo jokowi hindar bssn kaesang konfirmasi akun fufufafa milik gibran aura tegang hindar ya moga lantik prabowo jalan aja tdk tau rencana jokowi,tanda kereta prabowo jokowi hindar bssn kaesang konfirmasi akun fufufafa milik gibran aura tegang hindar moga lantik prabowo jalan aja tdk tau rencana jokowi,negative
udah kangen berat amp nanyain gibran rakabuming mana aja bencibenci asline rindu frame prabowo jokowi maruuf amiin negara iriana mayted dll tinggal wapres ri generasi milleneals,udah kangen berat amp nanyain gibran rakabuming mana aja bencibenci asline rindu frame prabowo jokowi maruuf amiin negara iriana mayted dll tinggal wapres generasi milleneals,negative
jempol pencawapresan gibran negara iriana jokowi sutradara dorong gibran terus jokowi jengggg,jempol pencawapresan gibran negara iriana jokowi sutradara dorong gibran terus jokowi jengggg,positive
wakil presiden wapres pilih gibran rakabuming raka susun kabinet perintah rampung aku libat presiden joko widodo jokowi susun kabinet presiden ri pilih prabowo subianto periode simak,wakil presiden wapres pilih gibran rakabuming raka susun kabinet perintah rampung aku libat presiden joko widodo jokowi susun kabinet presiden pilih prabowo subianto periode simak,negative
fufufafa internal prabowo gejolak mayoritas marah gibran konfirmasi kaesang akun milik gibran rakabuming raka jokowi laba bssn kominfo istana ngurusin fufufafa,fufufafa internal prabowo gejolak mayoritas marah gibran konfirmasi kaesang akun milik gibran rakabuming raka jokowi laba bssn kominfo istana ngurusin fufufafa,negative
